Time,Demand
181014,42
181021,40
181028,86
181104,62
181111,64
181118,96
181125,81
181202,79
181209,98
181216,61
181223,62
181230,60
190106,49
190113,38
190120,34
190127,28
190203,30
190210,25
190217,24
190224,17
190303,12
190310,9
190317,10
190324,10
190331,8
190407,6
190414,6
190421,5
190428,5
190505,4
190512,5
190519,4
190526,4
190602,2
190609,3
190616,3
190623,3
190630,3
190707,4
190714,4
190721,8
190728,4
190804,5
190811,7
190818,7
190825,6
190901,9
190908,10
190915,12
190922,14
190929,13
191006,20
191013,23
191020,26
191027,40
191103,50
191110,91
191117,100
191124,75
191201,88
191208,70
191215,58
191222,48
191229,45
200105,36
200112,38
200119,30
200126,26
200202,25
200209,20
200216,16
200223,12
200301,11
200308,10
200315,9
200322,6
200329,6
200405,6
200412,5
200419,5
200426,6
200503,5
200510,4
200517,4
200524,4
200531,4
200607,4
200614,4
200621,4
200628,5
200705,4
200712,5
200719,4
200726,6
200802,5
200809,5
200816,6
200823,6
200830,6
200906,8
200913,9
200920,9
200927,10
201004,18
201011,21
201018,29
201025,35
201101,57
201108,56
201115,42
201122,60
201129,62
201206,53
201213,53
201220,40
201227,35
210103,44
210110,36
210117,35
210124,23
210131,20
210207,18
210214,16
210221,14
210228,12
210307,9
210314,8
210321,7
210328,5
210404,4
210411,5
210418,5
210425,5
210502,3
210509,4
210516,4
210523,3
210530,3
210606,3
210613,3
210620,4
210627,3
210704,3
210711,4
210718,4
210725,3
210801,4
210808,5
210815,6
210822,6
210829,7
210905,8
210912,7
210919,10
210926,10
211003,9
211010,20
211017,50
211024,34
211031,31
211107,58
211114,50
211121,70
211128,70
211205,54
211212,54
211219,48
211226,52
220102,45
220109,41
220116,36
220123,27
220130,30
220206,25
220213,20
220220,21
220227,17
220306,15
220313,10
220320,11
220327,8
220403,7
220410,6
220417,5
220424,6
220501,5
220508,4
220515,5
220522,4
220529,4
220605,5
220612,4
220619,4
220626,5
220703,5
220710,4
220717,5
220724,4
220731,6
220807,5
220814,5
220821,8
220828,7
220904,8
220911,10
220918,10
220925,11
221002,16
221009,31
221016,39
221023,39
221030,44
221106,49
221113,50
221120,44
221127,90
221204,74
221211,73
221218,77
221225,62
230101,46
230108,33
230115,29
230122,36
230129,30
230205,22
230212,20
230219,19
230226,19
230305,13
230312,11
230319,9
230326,7
230402,7
230409,6
230416,5
230423,5
230430,5
230507,4
230514,4
230521,3
230528,4
230604,4
230611,3
230618,3
230625,3
230702,3
230709,4
230716,3
230723,4
230730,4
230806,5
230813,4
230820,6
230827,6
230903,7
230910,7
230917,9
230924,9
231001,14
